indice,gauche,droit,texte,image
77,79,80,"Tu longes le couloir et arrives devant la porte de la chambre du roi. Tu utilise la clé que Clada t'a donné.
Tu entres dans la chambre et te retrouve nez à nez avec une servante. Ça n'était pas prévu ! Elle risque d'alerter les gardes.
Elle s'exclame: 'Que fais-tu là toi ?' 
[GAUCHE] 'Qu'est ce que toi tu fais là ?' 
[DROITE] 'Je suis ici sur la demande du roi'",24.jpg
78,81,82,"Alors que tu as fini une chanson et commences à manquer de répertoire, une femme t'interroge : 'Jeune troubadour, dîtes moi, d'où venez vous et d'où viens votre musique ? Elle est très mélodieuse' 
Que t'avait dis Nemes ?
[GAUCHE] Grande Prairie 
[DROITE] Deux Prairies",salleàmangerchateau.jpg
79,86,0,"Je ne suis pas sensé être là mais toi non plus. Cet aile du château est interdite aux domestiques.
Elle affronte ton regard pendant un instant puis se résigne. 'Oui, je n'ai aucun droit d'être là, mais le roi m'a volé un objet auquel je tiens particulièrement. Je suis venue le récupérer. Et toi que fais-tu là ?'
'Disons que pour moi aussi le roi détient un objet auquel je tiens.'
'Alors occupons nous chacun de nos affaires et faisons comme si nous ne nous étions jamais rencontré.'
'Très bien.'",none
80,85,0,"'Le roi m'a envoyer chercher
un bijoux dont il souhaite faire cadeau à l'un des nobles' 
Elle te répond : 'Le roi n'offre jamais rien à personne, il ne fais que prendre tout à tout le monde, seulement pour montrer sa domination. Et toi tu ne vas jamais avoir la chance de le voir'",none
81,83,0,"'De Grande Prairies Madame'. 
La cours te dévisage. Ce n'était, de toute évidence pas la contrée dont Nemes t'a parlé. Le roi te regarde avec insistance et un sourire sinistre étire ses lèvres.",none
82,84,0,"'De Deux Prairies Madame'. 
Toute la cours confirme. Tu ne t'es pas trompé, c'est bien ce que Nemes t'a dit. Le roi qui te fixait jusque là relâche son regard. Il t'avait presque démasqué",none
83,87,0,"'Eh bien. Eh bien, il me semblais bien t'avoir reconnu mon cher ami.' Il ordonne a ses gardes de te retirer ton chapeau ainsi que ce qui cache ton visage.
'Tu m'a fossé compagnie mon cher, et tu as laissé ce criminel s'échapper' Il parlait de Nemes. Il ordonne que l'on te fouille et ils trouvent la clé. 'Tu as voulu faire cavalier seul ? Je ne pense pas, Nemes dit être avec toi. Gardes empêchez toute personne de sortir, les servants aussi. Et conduisez cet imposteur au cachot.",none
84,88,0,"Tu entres dans la salle à manger. Personne ne fait attention à toi, ils regardent plus ce que tu as entre les mains que ton visage. Ce rôle est parfait pour ne pas attirer l'attention. En plus la coiffe et ton costume dissimulent parfaitement ton identité.",salleàmangerchateau.jpg
85,0,0,"Elle révèle soudain une dague qu'elle cachait dans sa jupe, franchit la distance qui vous sépare et te poignarde. Tu t'effondres sur le sol te vidant de ton sang. Ta dernière pensée est pour Nemes. (Tu es mort. On retrouve ta dépouille dans la chambre du roi et tu es envoyé au buché)",none
86,89,0,"Elle repart avec l'objet qu'elle cache soigneusement.
Tu ouvres la coffret au bijoux et fouilles parmi tous les colliers, toutes les bagues et pierres précieuses qu'il contient. Tu trouves finalement les deux anneaux et les mets dans ta poche.",fintragique.jpg
87,90,0,"Te voilà enfermé dans un cachot avec Nemes. Il ne dit pas un mot et semble en colère. Après tout c'est à cause de toi si vous vous êtes fait prendre. Le seul à avoir pu s'échapper est ton phœnix, mais tu sais que ce ne seras pas ton cas. Tu vas rester là pour un bon moment…",cachot roi.jpg
88,91,0,"Les gardes te font sortir et te jettent dehors avec peu de délicatesse. Te voilà hors du château.
Tu marches jusqu'à une auberge, où tu dois retrouver Nemes. Il arrives une dizaine de minutes après toi.",auberge.jpeg
89,92,0,"A part cet accro, tout se déroule comme prévu. Tu arrives au niveau de la porte qui donne sur la salle à manger. Tu entends Nemes chanter à haute voix accompagné d'une luth (=instrument qui ressemble à une guitare). Tu attends son signal. Il se met soudain à acclamé 'Et maintenant, une chanson de ma composition' il se met alors à chanter horriblement faux. Tu sors alors et te replaces dans la foule des serviteurs. Personne ne t'a vu, ils dévisagent tous Nemes en faisant des grimaces. Alors que tu te diriges vers les cuisine tu entends le roi ordonner aux gardes de faire sortir Nemes. Tu souris, tout s'est passé comme prévu.",salleàmangerchateau.jpg
90,0,0,fin le joueur est enfermé par le Roi en prison,fintragique.jpg
91,96,0,Tu lui explique que tu as failli te faire prendre. Il te félicite pour ta performance et vous riez tout les deux. Il te montre finalement les anneaux qu'il a récupéré.,none
92,93,94,"Tu retournes aux cuisines, récupères ton manteau et te dirige vers la sortie. Tu dois faire mine de retourner chercher du vin car il n'y en a plus assez.
Lorsque tu arrives devant les gardes, ils refusent de te laisser sortir. 
[GAUCHE] Tu tentes de les corrompre 
[DROITE] Tu les menaces implicitement",92.png
93,96,0,"Tu leur fait l'offre d'une des bonnes bouteilles de vin (une bonne cuvée) commandées par le roi. Les gardes se regardent et acquissent, tout le monde est corrompu dans ce château ou quoi ?! Tu repars et sors du château. Tu te diriges vers l'auberge où Nemes t'attend. Tu lui dis que tu as failli te faire prendre 2 fois.",auberge.jpeg
94,95,0,"'Messieurs, je dois retourner chercher des bouteilles de vin sur demande du roi. Si personne ne vient les lui apporter, il va chercher les responsables et c'est sur vous que ça va retomber si vous me retenez'
'C'est beau, il nous menace en rimes. Cependant, on est pas si bête que ça.'
'Outrage à garde, ça mérite une arrestation non ?'
'Parce que vous avez un code civil ici ?'
'Le code et la loi, c'est nous qui la faisons mon gars. Maintenant tu vas venir avec nous.'
Les gardes t’emmènent malgré tes protestations. Ils te font traverser les couloirs et te jettent en prison avant de te frapper, pendant longtemps'",92.png
95,0,0,fin le joueur est enfermé par les gardes en prison,fintragique.jpg
96,97,0,"Vous avez les anneaux et la clé, il ne vous reste qu'a trouver la porte ! Cependant, Nemes te dit : 'Je ne sais plus quoi faire.' Il n'est pas allé plus loin dans l'histoire. Il sait seulement que vous devez aller vers le Sud. Ce qui est une information peu précise..",none
97,98,0,"Vous partez donc avec la clé, et les anneaux ainsi qu'avec l'incantation et les potions. Arrivant devant une grande forêt, vous ne voyez rien d’autre que de grands arbres. Vous décidez de vous aventurer à l'intérieur. Soudain tu te sens comme attiré par une force invisible, tu sais où aller. Nemes te suit.",entreearbre.jpeg
98,99,0,"Vous arrivez devant un grand arbre. Un cerf de lumière apparaît alors derrière l’arbre et vient à votre rencontre. Il est tellement majestueux et fière. Vous le suivez lorsqu’il repart dans les profondeurs de la forêt. Le bois est de plus en plus dense, les rayons de lumière ne passent bientôt plus et seul le cerf éclaire votre chemin.Vous arrivez alors devant une faille qui traverse la montagne. Le cerf s’arrête et repart en galopant.Vous vous engouffrez dans la faille.",0.jpeg
99,100,0,"A mesure que vous vous enfoncez dans la faille, tu aperçois une lueur grandissante. La lumière se fait plus intense et chaleureuse. Vous aboutissez alors devant une porte. Elle semble inappropriée en plein milieu d'une faille, taillée en bois massif et avec des sculpture minutieuses. Nemes se rapproche pour tourner la poignée alors que tu sors la clé de ta poche. Une inscription apparait dans le bois. La langue vous est inconnue, mais tu comprends que la clé correspond à cette porte. Tu la places alors dans la serrure. Alors que tu t'apprêtes à tourner la poignée, ton phœnix émet un cri.",entreearbre.jpeg
100,101,0,"'Que lui arrive-t-il' te demande Nemes.
'Une seule clé, une seule porte' dit l'oiseau.
'Qu'a-t-il dit ?' redemande Nemes.
'Je pense que c'est le moment d'utiliser les anneaux, avant de franchir la porte.'",entreearbre.jpeg
101,102,0,"Vous enfilez chacun un anneau, et récitez l'incantation que vous aviez préalablement recopié sur un bout de papier.
'Medareno sometswar, medareno nunc tenemur usque ad dissociationem!'
Les anneaux émettent une lueur orangé puis redeviennent normaux.
Vous n'avez pas l'impression que quelque chose ai changé.",entreearbre.jpeg
102,103,0,"'Tout ça pour ça' dit Nemes
'On a peut-être mal prononcé l'incantation' réponds-tu.
Nemes te dévisage alors. 'Tu as entendus que que j'ai pensé ?' Tu restes sous le choc un instant. 'On peut communiquer par la pensée ??' penses-tu.
'De toute évidence oui puisque je t'entend comme si tu parlais à voix haute' répond Nemes.
L'incantation a bien fonctionné, vous êtes liés à présent. Vous décider qu'il est temps de quitter se monde. Tu attrapes la poignée et pousse la porte.",entreearbre.jpeg
103,104,0,"La porte s'ouvre lentement sur un couloir. Vous le traversez pour arriver dans une grande cavité. Mais à peine venez vous de voir le portail de l'autre coté de la grotte qu'un grognement vous fait sursauter. Une masse énorme sort alors des ténèbres sur votre droite. Un géant avec une carrure imposante et une massue à la main vous fixe d'un air sauvage.",porteizug.jpeg
104,105,106,"Dans un premier temps vous êtes tétanisés, vous n'aviez pas du tout prévu ça. Vous n'avez aucune arme. Vous allez avoir besoin de ruser. 
[GAUCHE] Tu suis son idée 
[DROITE] Tu veux tenter autre chose",none
105,106,107,"Nemes s'avance avec confiance devant le monstre et dit : 'Bonjour mon ami, que fait tu ici ?' Le monstre surpris répond: 'Je.. je suis ici pour protéger la porte !' 
'Bien, mais contre quoi la protèges tu mon ami ?' 
'Contre... des ... Eu... Je.. Je ne sais pas vraiment' 
'Tu protèges une porte sans raison ?' 
'Il semblerait que oui... Pourquoi m'appelles-tu l''ami' ?' 
'Car je ne connait pas ton nom mon cher. Nous ne nous sommes pas présentés. Je suis Nemes, humble roturier, et voici mon compagnon de voyage.' dit il et tendant la main dans ta direction. 'Je suis Izug l'ogre, de la porte' 
'Quel beau nom tu as là Izug-L'ogre De Laporte'. 'Aide moi à le mettre en confiance' ajoute Nemes par la pensée, à ton intention.  
Quel genre de compliment fait-on à un ogre ?? 
[GAUCHE] flatter sa carrure 
[DROITE] 'Vivez vous seul ici ?'",104.png
106,108,109,"Tu te rappelles que dans votre sac vous avez les potions prises chez la sorcière. Lesquelles choisis-tu ? 
[GAUCHE] La orangée et la brune 
[DROITE] La verte et la bleue ",106.jpg
107,111,0,"'Quel taille vous faites Izug, vous pourriez soulever des montagnes à vous seul' 
'J'ai fait cela pendant un temps, mais ce temps est révolu…'",104.png
108,111,0,"'Oui. Le gens ne m'apprécient pas beaucoup car je leur fait peur' 
'Vous ne connaissez personne qui vous... ressemble ?'",104.png
109,112,0,Nemes te dis de prendre la orangée. Ce que tu fais. ,none
110,113,0,Nemes décide de prendre la bleue ,none
111,114,0,"- Autrefois les ogres étaient respectés et craints. Mais lorsque les Hommes ont commencé à fabriquer des armes et à s'enorgueillir, il se sont mis à nous traquer et nous décimer. Il ne reste pas plus d'une poignée d'ogre et je ne sais pas où ils sont.",104.png
112,116,0,"Tu te sens gagner en force. Quand le monstre te fonce dessus et te projettes contre une parois, tu ne ressens moins de douleur que ce que tu aurais dû. Tu parviens à soulever un bloc de pierre à main nues ! Cette potion est incroyable ! Tu jettes la pierre sur le monstre qui se la prend en plein fouet. Nemes te regarde de loin, il est sur le point de boire aussi une potion mais le monstre ne se relève pas, il repose le flacon sans avoir bu le liquide brun.",104.png
113,116,0,"Tu le vois boire la potion, mais rien ne se passer. Puis le monde autour de toi commence à ralentir. Les mouvements du monstre sont au ralentis mais Nemes se meut normalement. Tu comprends que, grâce à votre lien, la potion vous a fait tout les deux gagner en vitesse.
Les mouvements de géant sont tellement lents qu'ils vous laissent pleinement le temps de traverser la cavité et de franchir le portail.",104.png
114,115,0,"- Ne souhaitez vous pas partager de nouveau la vie de vos semblables ? Les Hommes ne sont plus aussi féroces qu'autrefois. Ils vivent maintenant dans le respect des autres créatures magiques.
- Vous pouvez quitter cet antre et vivre pour vous Izug
- Vraiment, ne chercher vous pas a me tendre un piège ?
- Nous n'avons aucune autres intentions que quitter ce monde et maintenant de vous libérer. Sortez Izug, retrouvez les vôtres !!",none
115,116,0,"Izug ne perd pas de temps et se dirige vers la sortie. Il ne reviens qu'une seule fois pour vous remercier et continue son chemin. Ton phœnix te dit alors 'Bravo, vous l'avez libéré ce pauvre ogre, il vivait seul dans la peur depuis milles ans",none
116,117,0,"Vous voilà face au portail, votre délivrance. Tu te remémore toutes ces semaines passés dans la crasse et sur les routes. Mais aussi les rencontres que tu as faites, Nemes et ton phœnix. Tu réalise soudain qu'il ne va pas te suivre à travers le portail, il appartient à ce monde. L'oiseau se place alors sur le sol. et soudain il s'embrase. Après quelques seconde, il ne reste de lui plus qu'une plume, aux couleurs de braise.
Sous le choc tu ne parviens plus à bouger. Pourquoi s'est il embrasé de la sorte ?
Nemes te dit alors: - C'est un phœnix camarade, c'est son cycle de vie. Il a terminé sa mission, il va renaitre ailleurs et vivre une nouvelle vie.",none
117,118,0,Vous faites de nouveau face au portail. Il est temps de le franchir. Vous avancez.,none
118,119,0,"Tu te réveilles soudainement et te redresses. Tu es allongé sur un canapé, dans un appartement, ton appartement.
Tu es sorti, tu es de retour dans ton monde. Cela n'était-il qu'un rêve ?
En regardant autour de toi, tu vois, posé sur ta table basse, un livre épais avec une couverture en cuire sombre. Le titre de l'ouvrage te fait comprendre comment mais sans pour autant t'apporter des réponses.",appartement.jpeg
119,0,0,"BRAVO, tu as réussi à sortir du livre et à rentrer chez toi. Si tu le souhaites, rejoues pour découvrir des éléments cachés ou d'autres fins ! (joueur est sorti)",none
120,121,0,"La nuit tombe vite. Après un repas copieux apporté par une servante, tu décides d’aller te reposer. Le phœnix se place sur le balcon.
Tu t'endors.",166.jpg
121,122,122,"Tu es réveillé par des coups toqués à la porte. Tu n’as pas aussi bien dormi que tu l’espérais. Tu es toujours un peu fatigué et courbaturé au niveau des épaules et des jambes. Alors que tu ouvres la porte, tu te retrouves nez à nez avec une servante.
-Prépares toi vite le Roi t'attend! Te dit-elle avant de repartir rapidement. 
Quel tenue choisis-tu ? 
[GAUCHE] La tenue de gauche 
[DROITE] La tenue de droite",169.png
122,123,0,"Quand tu sors de ta chambre, deux gardes arrivent pour te conduire auprès du roi. Tu es installé à une table. Le roi se joint quelques instants plus tard à toi. Il t'explique comment va se dérouler la quête:",6.png
123,124,125,"- Ma fille est enfermée dans la demeure du monstre. Nous allons devoir récupérer la clé de la porte qui nous mène à son antre. C'est une sirène qui la possède. Elle est malveillante et imprévisible donc il faudra l’éliminer avec la plus grande discrétion. Pour cela nous allons mettre en place un plan d’action dans lequel il faut que tu discutes tranquillement avec la sirène pour la distraire puis mes gardes se changeront d'elle. 
[GAUCHE] - Mais qu'a-t-elle fait ? 
[DROITE] - Sommes nous vraiment obligés de la tuer ?",6.png
124,126,0,"- C'est une criminelle elle attire des hommes avec une clé et leur pose des énigmes sans bonne réponse pour les tuent si ils répondent faux, il est donc nécessaire pour le bien de tous et pour récupérer la clé de l'éliminer",6.png
125,126,0,"- Oui absolument, elle est dangereuse si on ne la tue pas elle nous tuera.",6.png
126,127,0,"Accompagné d’une immense horde de gardes et du roi, vous vous rendez chez la sirène. Vous arrivez dans ce qui semble être un vaste lac souterain entouré de rochers qui ne te mettent que moyennement en confiance. 
Tu aperçois au loin la silhouette d’une sirène, elle semble te reconnaître immédiatement et s'exclame: 
- Bonsoir jeune gens. Vous êtes dans mon territoire ici et avez l’air bien appétissant !Un festin qui vient de son plein gré c’est pas beau ça haha !
Toi là bas, dit-elle en te pointant du doigt. Je te propose de jouer à un p’tit jeux, je te pose des questions et si tu réponds bien je t’épargne.
Et vu que je suis de bonne humeur je vais même t’offrir quelque chose, dit-elle en révèlant une clé attachée à sa taille.",177.jpeg
127,128,130,"Le Roi ordonne à un garde de s’emparer de la clé. Cependant la Sirène ne semble pas contente qu'on ne veuille pas jouer à son jeu. Elle devient agressive. Avant qu’elle n’ait dit un seul mot elle se fait trancher la tête par un des garde. Tu es choqué quant à la violence de cet acte mais le Roi tente de te rassurer en te disant :
- Cela était nécessaire et c’était pour la bonne cause ! Garde ton sang froid bon sang!
[GAUCHE] Tu t'exclame : 'Mais vous êtes malade'
[DROITE] Tu ne dis rien",grotteroi.png
128,129,131,"le Roi répond: 'Es-tu sûr de ce que tu viens de dire ?'
[GAUCHE] 'OUI !' 
[DROITE] 'non.. Excusez moi'",grotteroicolere.png
129,132,0,"Dans un excès de rage le Roi ordonne aux gardes:
- Emmenez ce scélérat à la guillotine !!
Tu es exécuté en public le jour même…",185.jpg
130,133,135,"Il t'explique 'Parfait, désormais nous devons nous rendre chez le serrurier-forgeron qui pourra nous en apprendre davantage sur cette clé et comment ouvrir la porte.' Vous vous rendez donc dans un commerce non loin de l’antre de la sirène et entendez déjà les coups de marteau sur l’enclume et les métaux en train d’être modelés grâce à la chaleur. Tu aperçois un métal dorée serait-ce de l'or ? 
[GAUCHE] Prendre l'or 
[DROITE] Continuer d'avancer",tas_dor.jpg
131,130,0,le roi réplique : 'Je préfère cela !' ,6.png
132,0,0,"Tu as débloqué la fin: 
MORT GUILLOTINÉ",185.jpg
133,134,0,Tu te brûles en voulant voler l'or ce qui attire l'attention du serrurier qui s'exclame 'Vous êtes venu chez moi pour voler vin donc sortez d'mon magasin',184.png
134,136,0,"Le Roi réagit brutalement à ton échec, tu es emmené dans un cachot et prend la place d’un prisonnier qui va lui être exécuté. Tu va désormais être le prisonnier du Roi pour l’éternité et lui donner des informations pour qu’il puisse trouver la porte et la franchir…",cachot.jpg
135,136,137,"Vous interpellez un serrurier grand roux avec une longue barbe et une carrure imposante et lui montrez la clé qui semble choquer le serrurier, il s’exclame alors: 'Avant d'vous aider pour la clé t'pourrais avoir l’amabilité d’aller m'chercher du bois, des pierres cylindriques, d'la poussière d’étoile et d’attendre 4-5 jours que je finisse ce à quoi j'suis occupé.' 
[GAUCHE] Tu aides le serrurier 
[DROITE] Tu n'as aucune envie de l'aider",184.png
136,0,0,fin tu es enfermé par le Roi en prison ,fintragique.jpg
137,139,0,"Tu essayes de persuader le roi d’attendre que le serrurier ai fini. Tu arrives donc à convaincre le Roi de t'aider, il semble peu séduit à cette idée rabaissante lui qui n’a jamais travaillé pour quelqu'un, mais enfin puisque tu insistes c’est toi qui t’en occuperas, Tu sors du commerce et trouves deux trois rondins de bois fraîchement coupés, tu les apportes au serrurier qui te demandes encore une autre tâche, et ça 2 fois puis il parle:
",none
138,141,142,"Vous refusez d’aider le forgeron qui semble agacé mais il leur montre tout de même où vous devez aller, il s’agit d’une forêt habitée de petites créatures semblants inoffensives et bienveillantes, l’une d’elle semblant être leur représentante adresse au Roi et à toi : 'Vous venez de la part du forgeron c’est ça?' Vous répondez ' Oui c'est ça'. Les créatures vous expliquent ' Nous avons préparé un repas en votre honneur accepteriez vous de le manger en notre compagnie?' 
[GAUCHE] Tu acceptes le repas 
[DROITE] Tu n'acceptes pas le repas",none
139,140,138,"'T’veux savoir cmt faire une clé d’velours, il faut utiliser un matériau très spécial qu’on y trouve pas de partt, t’sais ? C’est...
Et il met arrivé queque’chose d'extraordinaire durant ma vie, l’mariage avec ma femme qui est malheureusement décès y a peu, mais mon fils m’aide bcp au quotidien et j’le remercie d’veiller sur moi jour et nuit.'  
[GAUCHE] Attendre 
[DROITE] 'Oh tu parles trop !'
",139.png
140,153,154,"'Merci de m’avoir écouté, j’en suis ému mais tu voulais savoir quoi déjà de base, je me suis égaré ?'
lui explique 'Vous dvez trouvé les ptiotes bêtes la vous savez hmmmm attendez je réfléchis hmmmmm dur d'me rappeler ah oui jcrois bin que c'est les elfes oui c'est ça qui vous aideront à forger la vrai clé'. Vous marchez de nombreuses heures avant d’arriver dans une immense antre qui paraît irréelle
",139.png
141,143,0,"Vous acceptez donc ce bon repas, le savourez puis tout d’un coup vous êtes pris d’une forte migraine et commencez à être pris d’hallucinations, vous voyez votre environnement devenir rose clair, devenir flou et commencez à avoir une vision distordue de la réalité.",139.png
142,144,145,"Vous refusez le repas, cependant cela à pour effet d’énerver les créatures qui deviennent agressives et menaçantes prêtes à attaquer. 
[GAUCHE] Tu préviens le roi et lui demande de les tuer 
[DROITE] Tu préfères les menacer",none
143,146,0,"Puis tout devient noir, Vous vous réveillez dans une cage et à ce qu’il semble être une vente, Vous entendez les enchères monter et comprenez que vous êtes sur le point d’être vendus à une riche créature. Vous êtes emmenés dans un champ et on vous explique 'Désormais vous n'êtes plus que des esclaves qui obéissent sans se plaindre et vous êtes condamnés à cette peine pour l’éternité…'
",cageescalve.jpg
144,147,0," le Roi ordonne aux gardes d'exterminer les créatures. il n'y a aucunes survivantes. Vous êtes toujours escortés par les nombreux gardes vous rentrez au château et le Roi explique 'Nous y sommes presque, la prochaine étape est de trouver la porte!'",none
145,148,0,"les créatures se ruent sur vous et vous dévorent sans pitié, il n'y a plus aucune trace de vous... ",none
146,0,0,fin vous finissez esclaves pour l'éternité ,fintragique.jpg
147,149,150,"Le roi t'envoies chercher la porte, apparemment tu es le seul à pouvoir la trouver. Cela fait 4 jours que tu ne trouves rien. Vous campez devant une forêt avant de rentrer le lendemain. Alors que tu fais un tour avant d'aller te coucher. 
[GAUCHE] Tu t'enfonce dans la forêt sans prévenir personne 
[DROITE] Aller avertir les gardes et chercher le roi ",none
148,0,0,fin vous finissez mangés ,fintragique.jpg
149,151,0,"Tu t'enfonces de plus en plus dans la forêt. Il fait sombre. Tu entends un bruit et te retournes. Ton phœnix a disparu ! Tu te sens alors tomber en avant, mais à la place de frapper le sol tu sens une forte chaleur ",none
150,152,0,"Tu rentres au château en n'ayant rien trouvé et l’annoncer au Roi qui réagit brutalement à ton échec, tu es emmené dans un cachot et prend la place d’un prisonnier qui va lui être exécuté. Tu vas désormais être le prisonnier du Roi pour l’éternité et lui donner des informations pour qu’il puisse trouver la porte et la franchir... ",none
151,0,0,le joueur change de royaume ,nouveauroyaumedujoueur.jpg
152,0,0,fin tu es enfermé par le Roi en prison ,fintragique.jpg
153,155,157,"Tout est éclairée et joyeux ils rencontrent deux elfes qui leur demandent 'on peut vous aider messieurs?' et aperçoivent directement la clé et leur explique 'Pour forger la clé finale une plume du petit animal qui vous suit est nécessaire', Tu as peur de lui faire du mal mais le Roi sans prévenir arrache violemment la plume du Phoenix, cela semble surprendre tout le monde qui voit dans les yeux du Roi une certaine haine.
[GAUCHE] Tu prends ton phœnix dans tes bras 
[DROITE] Tu rigoles",none
154,156,0,Les elfes sont vexés et vous tuent ,none
155,157,0,Le Roi dit : 'Oh ça va il va bien y'a pas mort d'Homme!',none
156,0,0,les elfes te tuent parce que tu es méchant ,none
157,158,159,"Vous passez à autre chose et les elfes commencent à forger la clé à l’aide de la plume de phœnix la clé est colorée d’une couleur orange enflammée, les forgerons vous la donne. Le roi te demandes ensuite: 'Trouves la porte à l’aide de la clé pendant je règles quelque chose pendant ce temps.' 
[GAUCHE] 'Où allez vous ?' 
[DROITE] Tu accèptes",none
158,159,0,le Roi répond : 'Cela ne te concerne en rien !',none
159,160,0,"Le roi se rend dans le marais chez la Sorcière et lui et ses gardes la tue et lui vole ses potions qu’il pourra revendre cher. Tu cherches quant à toi, cherches longtemps cette porte et suit des sentiers qui apparaissent comme pour te guider à l’aide de la clé quant enfin tu aperçois une immense porte qui semble mener dans un autre monde ",5.jpg
160,161,162," Tu est très impressionné tu vas chercher le Roi pour montrer ta trouvaille. Le Roi lorsqu’il apprend cette bonne nouvelle laisse paraître un sourire diabolique et jouissif mais tu n’y fais pas attention. Vous vous dirigez donc vers la porte l’ouvres à l’aide de la clé, la porte s’ouvre comme par magie laissant paraître une énorme lueur à son ouverture puis vous vous avancez pour rentrer dans ce monde inconnu 
[GAUCHE] Tu as trop peur pour avancer 
[DROITE] Tu entres sans peur",none
161,162,0,Le roi te pousses a l'intérieur et te dis 'Allez dépêche toi arrête de faire la mauviette',none
162,163,164,"Une fois rentré tout vous paraît gigantesque et vous apercevez une immense silhouette quelque chose de monstrueux et répugnant, il s’agit d’Izug le gardien de la porte et vous allez devoir l’affronter pour vous échapper. Tu commences à le combattre et réfléchis à une stratégie pour t’en sortir. Seulement pendant que tu combats le titanesque gardien. 
[GAUCHE] Tu amadoues le géant 
[DROITE] Tu te bats contre cette bête ",104.png
163,164,0,le géant attaque le joueur sans réflechir ,104.png
164,165,0,"le Roi en profite pour ouvrir la porte vers le monde réel et referme la porte derrière lui qui disparaît immédiatement. Tu aperçois la porte qui réapparaît et essayes de l’ouvrir, cela est difficile mais tu y arrives enfin seulement quand tu ouvres la porte tu es aspiré par celle-ci qui mène à un monde fait de néant. ",none
165,166,0,"Tu t'évanouis pris par les émotions et te réveilles dans une forêt te rappelant quelque chose mais tu ne te souvient plus de qui tu es et où tu te trouve. Le Roi quant à lui découvre un monde qui lui paraît inconnu mais en même temps une grande envie de destruction et de pouvoir dans ce monde l’envahit. Cependant, dans ce monde il paraît énorme et inarrêtable… ",none
166,0,0,fin le Roi sort et tu es bloqué,fintragique.jpg
167,168,169,"Tu entres dans la cabane étroite et tu tombes nez à nez avec une sorcière peu familière et rassurante qui s’adresse à toi froidement
-Assit toi j’ai des choses à t’expliquer, d’abord j’ai des questions à te poser sais-tu qui tu es, pourquoi tu es ici et que dois tu faire ?' 
[GAUCHE] 'Je suis victime d'une malédiction' 
[DROITE] 'Je sais plus qui je suis, je suis perdu et je ne connais pas ce monde…'",167.png
168,170,0,"'Pas vraiment, c'est plus complexe que cela'",167.png
169,170,0,"'Ne t'en fais pas, je vais t'expliquer la situation",167.png
170,171,0," -Jeune voyageur, tu es entré dans notre monde qui t'est étranger. Par mégarde tu as franchit un portail comme bien d'autre avant toi. 
Maintenant si tu veux retourner dans ton monde et reprendre ta vie d’avant,  il va falloir que tu trouves certains objets qui te permettront de trouver la sortie de ce monde merveilleux. Tout d’abord il va falloir que tu récupères une clé qui va te permettre d’ouvrir une porte et enfin trouver la porte te libérant de ce rêve. 
D’ailleurs pour t’aider dans ton aventure je vais te confectionner des potions qui vont pouvoir t’être utile. 
N'oubli pas de revenir les chercher plus tard… '",167.png
171,172,0,Tu reprends ton périple qui t’amène en direction de la sirène Parthénope. Elle a l’air de vouloir parler avec toi donc tu vas à sa rencontre.,177.jpeg
172,173,0,"'Bonsoir jeune gens, tu viens d’arriver dans mon territoire et tu as l’air bien appétissant dis-moi, une proie qui vient de son plein gré c’est pas beau ça haha, ça n’arrive pas tout les jours crois moi !
Je te propose de jouer à un p’tit jeux, je vais te poser des questions et si tu réponds bien je t’épargne. Et je t'offre cette clé ",177.jpeg
173,174,175,"‘L’énigme est la suivante :
 Je grandis sans être vivant. Je n'ai pas de poumon, mais j'ai besoin d'air pour vivre. L'eau, même si je n'ai pas de bouche, me tue, qui suis-je ?’
[GAUCHE] le feu 
[DROITE] des cendres",177.jpeg
174,176,0,"'Bon tu es plus perspicace que je le pensais, je vais te poser une autre question…'",177.jpeg
175,179,0,"'Ahah tu ne sers à rien mon p’tit gars, ta fin est proche mon amis' (le joueur meurt) ",fintragique.jpg
176,177,178,"Énigme 2 : 
Ce qui peut ramener les morts, te fait pleurer, te fait rire, te rend jeune, naît en un instant mais dure toute une vie... 
[GAUCHE] la mémoire 
[DROITE] un souvenir",177.jpeg
177,181,0," - Grr !! Je n'ai qu'une parole alors je vais te donner la clé et te laisser partir mais la prochaine fois que je te vois, je te dévore avant que tu n'ai eu le temps d'ouvrir la bouche. Maintenant vas-t-en !!",177.jpeg
178,182,0,"- Hahaha, tu t'es trompé, tu vas donc me servir de repas pour aujourd'hui. Quel dommage pour toi, tu avais eu juste à la première enigme",177.jpeg
179,180,0,"La sirène te tue par énervement car elle ne peut pas jouer avec toi, t’as répondu faux dès la première énigme. De rage elle te noie dans son étang.",171.PNG
180,0,0," Malheureusement, tu es mort dévoré par la sirène:
DÉVORÉ PAR LA SIRÈNE",fintragique.jpg
181,184,0,"Tu récupères la clé. Elle est bien légère...",criquesirene.jpeg
